source,target,stock,year
BE,SO,883,2017
BE,ZA,901,2017
BE,ES,51005,2017
BE,LK,705,2017
BE,PS,379,2017
BE,SD,458,2017
BE,SR,279,2017
BE,SE,4990,2017
BE,CH,2360,2017
BE,SY,2039,2017
BE,TJ,69,2017
BE,MK,3709,2017
BE,TH,3557,2017
BE,TG,2593,2017
BE,TN,4470,2017
BE,TR,44597,2017
BE,TM,14,2017
BE,UG,271,2017
BE,UA,3397,2017
BE,GB,28234,2017
BE,TZ,235,2017
BE,US,12779,2017
BE,UY,88,2017
BE,UZ,1690,2017
BE,VE,444,2017
BE,VN,1315,2017
BE,YE,59,2017
BE,ZM,134,2017
BE,ZW,144,2017
BF,BJ,4203,2017
BF,CI,544036,2017
BF,GH,32411,2017
BF,ML,44078,2017
BF,NE,12833,2017
BF,NG,5201,2017
BF,SN,4057,2017
BF,TG,15485,2017
BG,AF,483,2017
BG,AL,1706,2017
BG,DZ,555,2017
BG,AO,10,2017
BG,AI,54,2017
BG,AG,6,2017
BG,AR,178,2017
BG,AM,2252,2017
BG,AW,6,2017
BG,AU,297,2017
BG,AT,781,2017
BG,AZ,2963,2017
BG,BS,5,2017
BG,BH,22,2017
BG,BD,865,2017
BG,BB,5,2017
BG,BY,1064,2017
BG,BE,1597,2017
BG,BZ,2,2017
BG,BJ,45,2017
BG,BM,2,2017
BG,BT,36,2017
BG,BO,27,2017
BG,BA,167,2017
BG,BW,41,2017
BG,BR,171,2017
BG,VG,108,2017
BG,BN,1,2017
BG,BF,19,2017
BG,BI,26,2017
BG,CV,10,2017
BG,KH,19,2017
BG,CM,22,2017
BG,CA,713,2017
BG,KY,3,2017
BG,TD,6,2017
BG,CL,35,2017
BG,CN,1471,2017
BG,CO,49,2017
BG,CG,19,2017
BG,CR,10,2017
BG,CI,10,2017
BG,HR,137,2017
BG,CU,405,2017
BG,CY,1074,2017
BG,CZ,1627,2017
BG,CD,22,2017
BG,DK,224,2017
BG,DJ,3,2017
BG,DO,41,2017
BG,EC,22,2017
BG,EG,241,2017
BG,SV,8,2017
BG,ER,3,2017
BG,EE,112,2017
BG,ET,80,2017
BG,FJ,1,2017
BG,FI,172,2017
BG,FR,1987,2017
BG,GA,16,2017
BG,GM,17,2017
BG,GE,505,2017
BG,DE,5763,2017
BG,GH,20,2017
BG,GI,8,2017
BG,GR,11688,2017
BG,GL,2,2017
BG,GT,6,2017
BG,GN,11,2017
BG,GW,6,2017
BG,GY,5,2017
BG,HT,6,2017
BG,HN,2,2017
BG,HU,550,2017
BG,IS,20,2017
BG,IN,281,2017
BG,ID,55,2017
BG,IR,424,2017
BG,IQ,1306,2017
BG,IE,351,2017
BG,IL,652,2017
BG,IT,3582,2017
BG,JM,6,2017
BG,JP,213,2017
BG,JO,289,2017
BG,KZ,1689,2017
BG,KE,25,2017
BG,KI,5,2017
BG,KW,150,2017
BG,KG,160,2017
BG,LA,1,2017
BG,LV,239,2017
BG,LB,1008,2017
BG,LR,6,2017
BG,LY,309,2017
BG,LI,2,2017
BG,LT,206,2017
BG,LU,73,2017
BG,MG,2,2017
BG,MY,3,2017
BG,MV,2,2017
BG,ML,1,2017
BG,MT,82,2017
BG,MH,1,2017
BG,MR,3,2017
BG,MU,1,2017
BG,MX,65,2017
BG,MC,12,2017
BG,MN,104,2017
BG,ME,41,2017
BG,MA,127,2017
BG,MZ,50,2017
BG,NA,6,2017
BG,NR,2,2017
BG,NP,10,2017
BG,NL,1163,2017
BG,NZ,63,2017
BG,NI,47,2017
BG,NE,1,2017
BG,NG,141,2017
BG,NO,265,2017
BG,OM,3,2017
BG,PK,128,2017
BG,PA,10,2017
BG,PG,3,2017
BG,PY,2,2017
BG,PE,36,2017
BG,PH,73,2017
BG,PL,2286,2017
BG,PT,418,2017
BG,QA,27,2017
BG,MD,3162,2017
BG,RO,8524,2017
BG,RU,30950,2017
BG,RW,2,2017
BG,WS,8,2017
BG,SM,6,2017
BG,SA,54,2017
BG,SN,16,2017
BG,RS,4190,2017
BG,SL,2,2017
BG,SG,17,2017
BG,SK,473,2017
BG,SI,117,2017
BG,SO,21,2017
BG,ZA,260,2017
BG,ES,6440,2017
BG,LK,12,2017
BG,PS,8,2017
BG,SD,56,2017
BG,SZ,3,2017
BG,SE,345,2017
BG,CH,437,2017
BG,SY,2055,2017
BG,TJ,205,2017
BG,MK,3777,2017
BG,TH,26,2017
BG,TO,1,2017
BG,TN,142,2017
BG,TR,9867,2017
BG,TM,425,2017
BG,TC,3,2017
BG,TV,2,2017
BG,UG,8,2017
BG,UA,9639,2017
BG,AE,141,2017
BG,GB,8025,2017
BG,TZ,19,2017
BG,US,3204,2017
BG,UY,22,2017
BG,UZ,1134,2017
BG,VU,22,2017
BG,VE,49,2017
BG,VN,943,2017
BG,WF,1,2017
BG,YE,74,2017
BG,ZM,16,2017
BG,ZW,42,2017
BH,AF,673,2017
BH,BD,80457,2017
BH,TD,441,2017
BH,EG,83015,2017
BH,ER,1590,2017
BH,ET,695,2017
BH,FR,2080,2017
BH,IN,310591,2017
BH,ID,23104,2017
BH,JO,14874,2017
BH,KW,5551,2017
BH,LB,4626,2017
BH,MA,665,2017
BH,NP,3888,2017
BH,NL,218,2017
BH,NG,2003,2017
BH,PK,76674,2017
BH,PH,49322,2017
BH,QA,355,2017
BH,SA,418,2017
BH,SO,532,2017
BH,SS,871,2017
BH,LK,10099,2017
BH,PS,4793,2017
BH,SD,7719,2017
BH,SY,3124,2017
BH,TH,1189,2017
BH,TN,480,2017
BH,TR,2227,2017
BH,AE,4147,2017
BH,GB,1700,2017
BH,US,1149,2017
BH,YE,15397,2017
BI,BE,625,2017
BI,CD,173417,2017
BI,FR,312,2017
BI,KE,1066,2017
BI,RW,66530,2017
BI,UG,921,2017
BI,TZ,28951,2017
BJ,BF,10267,2017
BJ,TD,721,2017
BJ,CG,1971,2017
BJ,CI,14183,2017
BJ,FR,1854,2017
BJ,GH,10539,2017
BJ,ML,1331,2017
BJ,NE,78209,2017
BJ,NG,46036,2017
BJ,TG,49664,2017
BM,AU,68,2017
BM,AT,31,2017
BM,BE,22,2017
BM,CA,2281,2017
BM,CN,346,2017
BM,CU,29,2017
BM,DK,35,2017
BM,DO,20,2017
BM,FR,143,2017
BM,DE,246,2017
BM,GH,123,2017
BM,GR,105,2017
BM,GY,101,2017
BM,HT,1664,2017
BM,IN,524,2017
BM,IE,101,2017
BM,IL,74,2017
BM,IT,72,2017
BM,JM,603,2017
BM,JP,667,2017
BM,MY,36,2017
BM,NG,186,2017
BM,PK,36,2017
